cluster_id,system,concept_precision,concept_recall,concept_f1,concept_jaccard,entity_precision,entity_recall,entity_f1,entity_jaccard,relation_precision,relation_recall,relation_f1,relation_jaccard,exact_triple_precision,exact_triple_recall,exact_triple_f1,exact_triple_jaccard,soft_triple_precision,soft_triple_recall,soft_triple_f1,domain_accuracy,range_accuracy,domain_range_pair_accuracy,schema_violation_rate,node_retention,edge_retention,edge_jaccard,relation_type_retention,lcc_ratio,central_node_preservation_at10,candidate_concepts,candidate_entities,candidate_triples,candidate_nodes,candidate_edges
test_02713,primera_sentence,0.43902439024390244,0.1267605633802817,0.19672131147540983,0.10909090909090909,0.4583333333333333,0.09016393442622951,0.1506849315068493,0.08148148148148149,0.375,0.15,0.21428571428571425,0.12,0.0,0.0,0.0,0.0,0.125,0.034482758620689655,0.05405405405405405,0.25,0.375,0.25,0.75,0.12195121951219512,0.0,0.0,0.15,0.5,0.1,41,24,8,14,8
test_02724,primera_exact,0.6857142857142857,0.061696658097686374,0.11320754716981132,0.06,0.7777777777777778,0.08641975308641975,0.15555555555555556,0.08433734939759036,1.0,0.05714285714285714,0.1081081081081081,0.05714285714285714,0.5,0.01818181818181818,0.03508771929824561,0.017857142857142856,0.5,0.01818181818181818,0.03508771929824561,0.75,0.75,0.75,0.25,0.03546099290780142,0.01818181818181818,0.017857142857142856,0.05714285714285714,0.14285714285714285,0.1,35,18,4,7,4
test_02724,primera_sentence,0.6857142857142857,0.061696658097686374,0.11320754716981132,0.06,0.7777777777777778,0.08641975308641975,0.15555555555555556,0.08433734939759036,1.0,0.05714285714285714,0.1081081081081081,0.05714285714285714,0.5,0.01818181818181818,0.03508771929824561,0.017857142857142856,0.5,0.01818181818181818,0.03508771929824561,0.75,0.75,0.75,0.25,0.03546099290780142,0.01818181818181818,0.017857142857142856,0.05714285714285714,0.14285714285714285,0.1,35,18,4,7,4
test_02725,primera_exact,0.9714285714285714,0.11683848797250859,0.20858895705521474,0.11643835616438356,1.0,0.1366906474820144,0.24050632911392406,0.1366906474820144,1.0,0.2,0.33333333333333337,0.2,0.8823529411764706,0.16853932584269662,0.2830188679245283,0.16483516483516483,0.9411764705882353,0.1797752808988764,0.3018867924528302,1.0,0.9411764705882353,0.9411764705882353,0.05882352941176472,0.17164179104477612,0.16853932584269662,0.16483516483516483,0.2,0.2,0.3,35,19,17,25,17
test_02725,primera_sentence,0.9714285714285714,0.11683848797250859,0.20858895705521474,0.11643835616438356,1.0,0.1366906474820144,0.24050632911392406,0.1366906474820144,1.0,0.2,0.33333333333333337,0.2,0.8823529411764706,0.16853932584269662,0.2830188679245283,0.16483516483516483,0.9411764705882353,0.1797752808988764,0.3018867924528302,1.0,0.9411764705882353,0.9411764705882353,0.05882352941176472,0.17164179104477612,0.16853932584269662,0.16483516483516483,0.2,0.2,0.3,35,19,17,25,17
test_02726,primera_exact,0.8611111111111112,0.07848101265822785,0.14385150812064967,0.0775,0.8,0.04519774011299435,0.0855614973262032,0.0446927374301676,0.6,0.03225806451612903,0.061224489795918366,0.031578947368421054,0.6,0.02631578947368421,0.050420168067226885,0.02586206896551724,0.6,0.02631578947368421,0.050420168067226885,0.6,0.6,0.6,0.4,0.0375,0.02631578947368421,0.02586206896551724,0.03225806451612903,0.11764705882352941,0.2,36,10,5,8,5
test_02726,primera_sentence,0.875,0.07088607594936709,0.13114754098360656,0.07017543859649122,0.8,0.04519774011299435,0.0855614973262032,0.0446927374301676,0.6,0.03225806451612903,0.061224489795918366,0.031578947368421054,0.6,0.02631578947368421,0.050420168067226885,0.02586206896551724,0.6,0.02631578947368421,0.050420168067226885,0.6,0.6,0.6,0.4,0.0375,0.02631578947368421,0.02586206896551724,0.03225806451612903,0.11764705882352941,0.2,32,10,5,8,5
test_02730,primera_exact,0.6170212765957447,0.5370370370370371,0.5742574257425743,0.4027777777777778,0.5714285714285714,0.5,0.5333333333333333,0.36363636363636365,0.6666666666666666,0.26666666666666666,0.3809523809523809,0.23529411764705882,0.25,0.125,0.16666666666666666,0.09090909090909091,0.25,0.125,0.16666666666666666,0.375,0.5,0.25,0.75,0.25,0.125,0.09090909090909091,0.26666666666666666,1.25,0.2,47,35,8,12,8
test_02730,primera_sentence,0.6170212765957447,0.5370370370370371,0.5742574257425743,0.4027777777777778,0.5714285714285714,0.5,0.5333333333333333,0.36363636363636365,0.6666666666666666,0.26666666666666666,0.3809523809523809,0.23529411764705882,0.25,0.125,0.16666666666666666,0.09090909090909091,0.25,0.125,0.16666666666666666,0.375,0.5,0.25,0.75,0.25,0.125,0.09090909090909091,0.26666666666666666,1.25,0.2,47,35,8,12,8
test_02768,primera_exact,0.627906976744186,0.36486486486486486,0.4615384615384615,0.3,0.875,0.1891891891891892,0.3111111111111111,0.18421052631578946,1.0,0.15384615384615385,0.2666666666666667,0.15384615384615385,0.5,0.058823529411764705,0.10526315789473684,0.05555555555555555,0.5,0.058823529411764705,0.10526315789473684,0.5,1.0,0.5,0.5,0.13043478260869565,0.058823529411764705,0.05555555555555555,0.15384615384615385,0.4,0.1,43,8,2,4,2
