regrouping,metric,n_bundles,run82_mean,leadw_mean,delta,ci95_low,ci95_high,wilcoxon_p,cohens_dz
32,predicate_lexical_coverage,71,0.23384763102068612,0.21352387767462197,0.02032375334606414,0.00249729162339176,0.0380275106652881,0.043796516538955665,0.26505770672467444
32,gold_semantic_recall_t060,71,0.03873493628725987,0.0378085843192265,0.0009263519680333859,-0.004734750596852663,0.006462769038235704,0.7199399332488514,0.038647853861954254
32,gold_semantic_f1_t060,71,0.06518909242499424,0.06408826394067789,0.001100828484316346,-0.008360452577021704,0.010475876290060299,0.9119252150808786,0.027578046496401002
33,subject_coverage,71,0.537687021383686,0.4582370409445208,0.07944998043916528,0.051326817685084666,0.10718219280442451,3.626719319754339e-06,0.6588515945339817
33,object_coverage,71,0.38986496208643345,0.3558522091586593,0.034012752927774274,0.021191517846239783,0.0465871774184177,1.1667595598759115e-05,0.6072050700854988
33,entity_pair_coverage,71,0.31252025169107145,0.33383919355868946,-0.021318941867618055,-0.037473116593808906,-0.005455415781918645,0.012130152648561479,-0.3050989216918262
33,predicate_lexical_coverage,71,0.22983728995422215,0.20051593111807317,0.029321358836149062,0.014128820979943942,0.0453153762099541,0.0005872397933928865,0.43359009571070706
33,gold_semantic_recall_t060,71,0.0415116644639335,0.030934614652894106,0.010577049811039395,0.004408279004064406,0.016848330992176353,0.003949403709014437,0.3980422796188516
33,gold_semantic_f1_t060,71,0.07004479131328123,0.05331971072673519,0.016725080586546058,0.006308524496462927,0.02721624328977559,0.006834601496532733,0.3756181714661405
34,subject_coverage,71,0.5591832293915767,0.47884846664565356,0.08033476274592317,0.054308862479428496,0.1056064588933921,4.101157092567172e-07,0.7358980907603269
34,object_coverage,71,0.39213652913259683,0.3606077298931551,0.031528799239441845,0.017024999117696386,0.045867664308075,0.00010557551596199977,0.49416211108061
34,entity_pair_coverage,71,0.31999290746556597,0.3345900586398984,-0.01459715117433242,-0.029894927508681206,0.0008135868569823495,0.14381636308256418,-0.22094640053273393
34,predicate_lexical_coverage,71,0.2252017631864667,0.2000654043962917,0.025136358790175024,0.011489532906683345,0.03911521207360242,0.0009097603371536871,0.4159935707884795
34,gold_semantic_recall_t060,71,0.0391177362038485,0.03406129800200516,0.005056438201843352,5.6648890892691125e-05,0.009975593001870339,0.061729200133218164,0.232942229996832
34,gold_semantic_f1_t060,71,0.06595156993601829,0.058390955985359996,0.007560613950658318,-0.0008883795255647896,0.015950252138197254,0.30659062343304444,0.2072284160889467
35,subject_coverage,71,0.5313990205135973,0.48206054984088836,0.049338470672708995,0.025296558438351862,0.0726098309870218,0.00015731412684808694,0.48557728574405123
35,object_coverage,71,0.3872505059192471,0.3672888592993507,0.019961646619896533,0.0062945357958649984,0.03360020809598436,0.012555593156556221,0.3410058714629431
35,entity_pair_coverage,71,0.30471337659042036,0.34780701180347207,-0.04309363521305162,-0.05885730063398905,-0.028062940013985956,3.5151030641398376e-06,-0.6484860962895753
35,predicate_lexical_coverage,71,0.23407651950832672,0.2012889148867528,0.03278760462157384,0.018981949792641267,0.0461912110916961,6.208594970035908e-05,0.5432346288470319
35,gold_semantic_recall_t060,71,0.042005669823884074,0.03779713358943757,0.0042085362344465044,-0.0015938929267299649,0.010074999342433683,0.13207453670598993,0.165595974649083
35,gold_semantic_f1_t060,71,0.07106662571801654,0.0643872750624676,0.006679350655548923,-0.002980690360327513,0.016247744783478308,0.2095390094416093,0.15852476038978514
36,subject_coverage,71,0.5824394665824928,0.4759062155801737,0.10653325100231902,0.08240868495305081,0.13173076008123477,1.9144405369414668e-09,0.965327201655643
36,object_coverage,71,0.39962756735854194,0.360850039824985,0.03877752753355696,0.02448715021863462,0.0531130802141478,1.1967973976734148e-05,0.6184575592971813
36,entity_pair_coverage,71,0.3303574963845155,0.34394393292978676,-0.013586436545271204,-0.030128546901800713,0.0027381721505328974,0.0874801754849094,-0.19100796889466964
36,predicate_lexical_coverage,71,0.23505284360239728,0.2077468725090661,0.027305971093331192,0.01107609301821646,0.04322537152796678,0.0014224431259026607,0.40511893383960496
36,gold_semantic_recall_t060,71,0.04137205836462533,0.03944806199375254,0.0019239963708728017,-0.0026560739534057486,0.006465075054649983,0.521111989148789,0.09793692792177133
36,gold_semantic_f1_t060,71,0.06998256651686362,0.06725762323278085,0.0027249432840827596,-0.005091017853890792,0.010363500317264001,0.7833424311802976,0.08119309801923166
37,subject_coverage,71,0.5344954904834949,0.46935632965450935,0.06513916082898549,0.038630397590503615,0.0916730559958415,2.462671537554921e-05,0.5625915611437584
