cluster_id,variant,alpha_topic,beta_pattern,delta_redundancy,summary_words,run82_target_words,absolute_budget_mismatch_pct,concept_precision,concept_recall,concept_f1,concept_jaccard,entity_precision,entity_recall,entity_f1,entity_jaccard,relation_precision,relation_recall,relation_f1,relation_jaccard,exact_triple_precision,exact_triple_recall,exact_triple_f1,exact_triple_jaccard,soft_triple_precision,soft_triple_recall,soft_triple_f1,domain_accuracy,range_accuracy,domain_range_pair_accuracy,schema_violation_rate,node_retention,edge_retention,edge_jaccard,relation_type_retention,lcc_ratio,central_node_preservation_at10,candidate_concepts,candidate_entities,candidate_triples,candidate_nodes,candidate_edges
test_01753,no_pattern,1.0,0.0,1.0,163,206,20.87378640776699,1.0,0.2719298245614035,0.42758620689655175,0.2719298245614035,1.0,0.2328767123287671,0.37777777777777777,0.2328767123287671,1.0,0.358974358974359,0.5283018867924528,0.358974358974359,0.9333333333333333,0.2916666666666667,0.4444444444444445,0.2857142857142857,0.9333333333333333,0.2916666666666667,0.4444444444444445,0.9333333333333333,1.0,0.9333333333333333,0.06666666666666665,0.3235294117647059,0.2916666666666667,0.2857142857142857,0.358974358974359,0.5714285714285714,0.3,31,17,15,23,15
test_01753,no_redundancy,0.3,0.7,0.0,386,206,87.37864077669903,1.0,0.45614035087719296,0.6265060240963854,0.45614035087719296,0.9743589743589743,0.5205479452054794,0.6785714285714285,0.5135135135135135,1.0,0.23076923076923078,0.375,0.23076923076923078,1.0,0.22916666666666666,0.37288135593220334,0.22916666666666666,1.0,0.22916666666666666,0.37288135593220334,0.8181818181818182,1.0,0.8181818181818182,0.18181818181818177,0.2647058823529412,0.22916666666666666,0.22916666666666666,0.23076923076923078,0.7142857142857143,0.4,52,39,11,18,11
test_01754,full_run82,0.3,0.7,1.0,252,252,0.0,0.9772727272727273,0.2654320987654321,0.41747572815533984,0.26380368098159507,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,0.09090909090909091,0.16666666666666669,0.09090909090909091,1.0,0.16666666666666666,0.2857142857142857,0.16666666666666666,1.0,0.16666666666666666,0.2857142857142857,1.0,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.09090909090909091,0.42857142857142855,0.4,44,15,5,8,5
test_01754,no_topic,0.0,1.0,1.0,256,252,1.5873015873015872,1.0,0.30864197530864196,0.4716981132075471,0.30864197530864196,1.0,0.3111111111111111,0.4745762711864407,0.3111111111111111,1.0,0.18181818181818182,0.3076923076923077,0.18181818181818182,1.0,0.3,0.4615384615384615,0.3,1.0,0.3,0.4615384615384615,1.0,1.0,1.0,0.0,0.2916666666666667,0.3,0.3,0.18181818181818182,0.42857142857142855,0.6,50,14,9,14,9
test_01754,no_pattern,1.0,0.0,1.0,198,252,21.428571428571427,0.9736842105263158,0.22839506172839505,0.37,0.22699386503067484,1.0,0.26666666666666666,0.4210526315789474,0.26666666666666666,1.0,0.045454545454545456,0.08695652173913045,0.045454545454545456,1.0,0.06666666666666667,0.125,0.06666666666666667,1.0,0.06666666666666667,0.125,1.0,1.0,1.0,0.0,0.0625,0.06666666666666667,0.06666666666666667,0.045454545454545456,0.42857142857142855,0.1,38,12,2,3,2
test_01754,no_redundancy,0.3,0.7,0.0,304,252,20.634920634920633,1.0,0.14814814814814814,0.25806451612903225,0.14814814814814814,1.0,0.35555555555555557,0.5245901639344263,0.35555555555555557,1.0,0.13636363636363635,0.24000000000000002,0.13636363636363635,1.0,0.13333333333333333,0.23529411764705882,0.13333333333333333,1.0,0.13333333333333333,0.23529411764705882,1.0,1.0,1.0,0.0,0.14583333333333334,0.13333333333333333,0.13333333333333333,0.13636363636363635,0.42857142857142855,0.1,24,16,4,7,4
test_01757,full_run82,0.3,0.7,1.0,182,182,0.0,1.0,0.2871287128712871,0.4461538461538461,0.2871287128712871,1.0,0.2926829268292683,0.45283018867924524,0.2926829268292683,1.0,0.375,0.5454545454545454,0.375,1.0,0.34615384615384615,0.5142857142857142,0.34615384615384615,1.0,0.34615384615384615,0.5142857142857142,1.0,1.0,1.0,0.0,0.4,0.34615384615384615,0.34615384615384615,0.375,0.6,0.5,29,12,9,16,9
test_01757,no_topic,0.0,1.0,1.0,203,182,11.538461538461538,1.0,0.36633663366336633,0.5362318840579711,0.36633663366336633,1.0,0.34146341463414637,0.5090909090909091,0.34146341463414637,1.0,0.375,0.5454545454545454,0.375,1.0,0.34615384615384615,0.5142857142857142,0.34615384615384615,1.0,0.34615384615384615,0.5142857142857142,1.0,1.0,1.0,0.0,0.4,0.34615384615384615,0.34615384615384615,0.375,0.6,0.4,37,14,9,16,9
test_01757,no_pattern,1.0,0.0,1.0,157,182,13.736263736263737,1.0,0.25742574257425743,0.4094488188976378,0.25742574257425743,1.0,0.3902439024390244,0.5614035087719299,0.3902439024390244,1.0,0.375,0.5454545454545454,0.375,1.0,0.38461538461538464,0.5555555555555556,0.38461538461538464,1.0,0.38461538461538464,0.5555555555555556,1.0,1.0,1.0,0.0,0.425,0.38461538461538464,0.38461538461538464,0.375,0.6,0.6,26,16,10,17,10
test_01757,no_redundancy,0.3,0.7,0.0,283,182,55.494505494505496,1.0,0.38613861386138615,0.5571428571428572,0.38613861386138615,1.0,0.6341463414634146,0.7761194029850745,0.6341463414634146,1.0,0.5,0.6666666666666666,0.5,1.0,0.46153846153846156,0.631578947368421,0.46153846153846156,1.0,0.46153846153846156,0.631578947368421,1.0,1.0,1.0,0.0,0.5,0.46153846153846156,0.46153846153846156,0.5,0.8,0.6,39,26,12,20,12
